date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-23 23:59:13,MelanieMoore,,3,3,13,"Alternate Timeline: The virus takes out most of the British family leaving King Harry to rule. He immediately releases all royal funds to combat the coronavirus in the UK with a plea to rejoin the EU. He then tries to abdicate but Royalists claim that Archie then holds title.",,,,1242239508092866561,https://twitter.com/MelanieMoore/status/1242239508092866561
2020-03-23 23:59:13,Nbaz1,,0,0,0,"El #Coronavirus mata personas de tercera edad. Igual que @IvanDuque",,@IvanDuque,#Coronavirus,1242239508076285958,https://twitter.com/Nbaz1/status/1242239508076285958
2020-03-23 23:59:13,NeededParty,BrandonBeckham_,0,0,0,"A Man Died After Self-Medicating With A Drug Trump Promoted As A Potential Treatment For The Coronavirus",,,,1242239508025872387,https://twitter.com/NeededParty/status/1242239508025872387
2020-03-23 23:59:13,binks9211,,1,4,14,"Le coronavirus nous éloigne des un des autres : de nos proches , de nôtres familles , de nos études.. Le coronavirus est un démon.",,,,1242239508000751619,https://twitter.com/binks9211/status/1242239508000751619
2020-03-23 23:59:13,adaure,techinsider,0,0,1,"An informative video about the symptoms of #covid19 #coronavirus ",,,#covid19 #coronavirus,1242239507883339778,https://twitter.com/adaure/status/1242239507883339778
2020-03-23 23:59:13,Alfredo60306311,,0,0,0,"Israel tiene corona virus",,,,1242239507799384070,https://twitter.com/Alfredo60306311/status/1242239507799384070
2020-03-23 23:59:12,mexnewz,,4,21,26,"Imprimen en Portada del periódico hoy en Suiza, en su encabezado dice: *""Dónde el Coronavirus es más peligroso? Donde gobierna la necedad, el engaño y la ignorancia. #CuarentenaObligatoriaYa #COVIDー19 ",,,#CuarentenaObligatoriaYa #COVID,1242239507300257792,https://twitter.com/mexnewz/status/1242239507300257792
2020-03-23 23:59:12,ClsNicaragua,,0,0,0,"#LoUltimo Casos de #Coronavirus confirmados en los países del #SICA #CentroAmerica y #RepublicaDominicana hasta las 5:30 PM del #23Marzo 2020 #CODVID19 #COVIDー19 #TodosContraElCoronaVirus",,,#LoUltimo #Coronavirus #SICA #CentroAmerica #RepublicaDominicana #23Marzo #CODVID19 #COVID #TodosContraElCoronaVirus,1242239507296026631,https://twitter.com/ClsNicaragua/status/1242239507296026631
2020-03-23 23:59:12,Filipino_Queen,,0,0,0,"Since when yall give ""Corona-virus"" a nickname ""Rona"" .... asking for a friend ",,,,1242239507036020737,https://twitter.com/Filipino_Queen/status/1242239507036020737
2020-03-23 23:59:12,JCN2010,,0,1,0,"What countries have been affected by the novel coronavirus known as COVID-19? How many cases are there in China? https://infographics.channelnewsasia.com/covid-19/map.html vía @ChannelNewsAsia",,@ChannelNewsAsia,,1242239506989940737,https://twitter.com/JCN2010/status/1242239506989940737
2020-03-23 23:59:12,kikovikojunior_,,0,0,1,"Retweet if u don’t believe in CoronaVirus",,,,1242239506901803008,https://twitter.com/kikovikojunior_/status/1242239506901803008
2020-03-23 23:59:12,NSWFireLibrary,,0,0,0,"#coronavirus #COVIDー19 world statistics https://www.worldometers.info/coronavirus/",,,#coronavirus #COVID,1242239506368974848,https://twitter.com/NSWFireLibrary/status/1242239506368974848
2020-03-23 23:59:12,johnndavis,nationalpost,0,0,0,"20200321: Kevin Carmichael : This is what the Bank of Canada has left in its arsenal to fight the coronavirus downturn ",,,,1242239506083954690,https://twitter.com/johnndavis/status/1242239506083954690
