date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-24 23:52:12,aguimaraesx,,0,0,1,"Bolsonaro é um FDP! Até a hora que alguém da família dele pegar coronavírus e morrer, Deus queira que não, pq não gosto de desejar o mal a ninguém, mas se isso acontecer, eu quero ver ele falar que é resfriadinho ou gripizinha",,,,1242600131377102849,https://twitter.com/aguimaraesx/status/1242600131377102849
2020-03-24 23:52:12,NimaPhotos2017,NimaPhotos2017,0,0,0,"#21daysLockdown #COVID19 #coronavirus #cuarentena",,,#21daysLockdown #COVID19 #coronavirus #cuarentena,1242600131217764353,https://twitter.com/NimaPhotos2017/status/1242600131217764353
2020-03-24 23:52:12,AnnieGabstonH,,0,3,4,"CDC says coronavirus RNA found in Princess Cruise ship cabins up to 17 days after passengers left - CNBC https://www.cnbc.com/2020/03/23/cdc-coronavirus-survived-in-princess-cruise-cabins-up-to-17-days-after-passengers-left.html via @GoogleNews",,@googlenews,,1242600130785640449,https://twitter.com/AnnieGabstonH/status/1242600130785640449
2020-03-24 23:52:12,olduozaman_0,,1,0,6,"Oturmaya mı geldik #vaka1872 #carsamba #coronavirus #COVID2019 #COVID19 #koronavirusu #ebaTV #UzaktanEğitim",,,#vaka1872 #carsamba #coronavirus #COVID2019 #COVID19 #koronavirusu #ebaTV #UzaktanE,1242600130546733063,https://twitter.com/olduozaman_0/status/1242600130546733063
2020-03-24 23:52:12,Diane_Steph33,,0,0,0,"“Coronavirus killing more men than women...”",,,,1242600129967927296,https://twitter.com/Diane_Steph33/status/1242600129967927296
2020-03-24 23:52:11,FCC_Watch,,0,0,0,"FCC Releases Proactive Coronavirus Emergency Purposes Ruling https://www.jdsupra.com/legalnews/fcc-releases-proactive-coronavirus-27969/ #FCC",,,#FCC,1242600129669947392,https://twitter.com/FCC_Watch/status/1242600129669947392
2020-03-24 23:52:11,bemebo,,0,0,1,"Martina en línea, Lucía desconectada: la brecha escolar que marca el coronavirus via @el_pais",,@el_pais,,1242600129640701954,https://twitter.com/bemebo/status/1242600129640701954
2020-03-24 23:52:11,GoogleMyrna,,0,0,0,"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study. - PubMed - NCBI https://www.ncbi.nlm.nih.gov/pubmed/32007143",,,,1242600129410011145,https://twitter.com/GoogleMyrna/status/1242600129410011145
2020-03-24 23:52:11,Kahluhagirl,etnow,0,0,0,"RIP SIR. God Speed #TerrenceMcNally hate this #coronavirus #COVID19",,,#TerrenceMcNally #coronavirus #COVID19,1242600129271599105,https://twitter.com/Kahluhagirl/status/1242600129271599105
2020-03-24 23:52:11,macasi09,,0,0,1,"Se eu pudesse transformar em vacina pro Coronavírus O ÓDIO q eu tô sentindo desse energúmeno irresponsável desse lixo de presidente tinha imunização suficiente pra população global e ainda sobrava até as próximas 3 gerações NO MÍNIMO!",,,,1242600129095438337,https://twitter.com/macasi09/status/1242600129095438337
2020-03-24 23:52:11,tostoi,,0,0,0,"#repost @marcelofreixo ・・・ Vimos em rede nacional um presidente desqualificado mentir, debochar e provocar um país que, apesar dele, luta bravamente para enfrentar o coronavírus. A… https://www.instagram.com/p/B-Iq6G-Jo6fXCpEontzkIRqB_t22VHd0mYeRKU0/?igshid=1bobypld3ecdd",,@MarceloFreixo,#repost,1242600128923545601,https://twitter.com/tostoi/status/1242600128923545601
2020-03-24 23:52:11,boredlele,,0,0,0,"LIXO DE PRESIDENTE E QUEM VOTOU É MAIS LIXO AINDA.. VE SE VÃO TUDO P RUA E PEGUEM CORONA VIRUS",,,,1242600128655110144,https://twitter.com/boredlele/status/1242600128655110144
2020-03-24 23:52:11,belamgc,,0,2,0,"Amanhã vou fazer tudo q eu não pude fazer essa semana, coronavírus vai me matar msm",,,,1242600128420208640,https://twitter.com/belamgc/status/1242600128420208640
2020-03-24 23:52:11,Lewis_Nich,,3,2,10,"Apparently I worry too much #coronavirus ",,,#coronavirus,1242600128214638592,https://twitter.com/Lewis_Nich/status/1242600128214638592
